S1 Journal Template Links (Deep Search)
================================================================================

[Jurnal Pendidikan IPA Indonesia] | [https://journal.unnes.ac.id/journals/jpii] | [https://journal.unnes.ac.id/journals/jpii/about/submissions] | [not_found]
[Jurnal Ilmiah Ilmu Terapan Universitas Jambi] | [https://online-journal.unja.ac.id] | [https://online-journal.unja.ac.id/about/submissions] | [not_found]
[International Journal of Electrical and Computer Engineering] | [http://ijece.iaescore.com] | [https://iaescore.com/gfa/ijece.docx] | [downloaded]
[Jurnal Pendidikan Islam] | [http://journal.uinsgd.ac.id] | [http://arjuna.ristekdikti.go.id/files/berita/Salinan_SK_Peringkat_Akreditasi_Elektronik_Periode_III.pdf] | [found]
[Jurnal Ilmiah Islam Futura] | [https://jurnal.ar-raniry.ac.id] | [https://jurnal.ar-raniry.ac.id/about/submissions] | [not_found]
[Journal of Islamic Law (JIL)] | [http://e-journal.iainptk.ac.id] | [http://e-journal.iainptk.ac.id/about/submissions] | [not_found]
[Nazhruna: Jurnal Pendidikan Islam] | [http://e-journal.ikhac.ac.id] | [http://e-journal.ikhac.ac.id/about/submissions] | [not_found]
[SAMARAH: Jurnal Hukum Keluarga] | [https://jurnal.ar-raniry.ac.id] | [https://jurnal.ar-raniry.ac.id/about/submissions] | [not_found]
[APTISI Transactions on Technopreneurship] | [https://att.aptisi.or.id] | [https://att.aptisi.or.id/about/submissions] | [not_found]
[JURIS (Jurnal Ilmiah Syariah)] | [https://ejournal.uinmybatusangkar.ac.id] | [https://ejournal.uinmybatusangkar.ac.id/about/submissions] | [not_found]
[JHCLS] | [https://www.jhcls.org] | [https://www.jhcls.org/about/submissions] | [not_found]
[Journal of Indonesian Islam] | [https://jiis.uinsa.ac.id] | [https://jiis.uinsa.ac.id/about/submissions] | [not_found]
[Gadjah Mada International Journal of Business] | [https://jurnal.ugm.ac.id/gamaijb] | [https://ristekdikti.go.id/wp-content/uploads/2017/12/Hasil-Akreditasi-Terbitan-Berkala-Ilmiah-Elektronik-Periode-II-tahun-2017.pdf] | [found]
[Legality : Jurnal Ilmiah Hukum] | [http://ejournal.umm.ac.id] | [http://ejournal.umm.ac.id/about/submissions] | [not_found]
[Indonesian Journal of Halal Research] | [https://journal.uinsgd.ac.id] | [http://arjuna.ristekdikti.go.id/files/berita/Salinan_SK_Peringkat_Akreditasi_Elektronik_Periode_III.pdf] | [found]
[Jurnal Ilmiah Peuradeun] | [https://journal.scadindependent.org] | [https://michaelfullan.ca/wp-content/uploads/2017/07/Michael-Fullan-Educational-Leadership-Six-Secrets-Interview.pdf] | [downloaded]
[Journal on Mathematics Education] | [https://jme.ejournal.unsri.ac.id] | [https://jme.ejournal.unsri.ac.id/about/submissions] | [not_found]
[El-Usrah : Jurnal Hukum Keluarga] | [https://jurnal.ar-raniry.ac.id] | [https://jurnal.ar-raniry.ac.id/about/submissions] | [not_found]
[Volksgeist: Jurnal Ilmu Hukum] | [http://ejournal.uinsaizu.ac.id] | [http://ejournal.uinsaizu.ac.id/about/submissions] | [not_found]
[Jurnal Akuntansi dan Keuangan] | [https://jurnalakuntansi.petra.ac.id] | [https://jurnalakuntansi.petra.ac.id/about/submissions] | [not_found]
[Jurnal Infinity] | [http://e-journal.stkipsiliwangi.ac.id] | [https://ikipsiliwangi.ac.id/wp-content/uploads/2024/05/2025-Infinity-Template-Guide-for-Authors.docx] | [downloaded]
[PEDAGOGIK : JURNAL PENDIDIKAN] | [https://ejournal.unija.ac.id] | [https://ejournal.unija.ac.id/about/submissions] | [not_found]
[Hasanuddin Law Review] | [http://pasca.unhas.ac.id] | [http://pasca.unhas.ac.id/about/submissions] | [not_found]
[Indonesian Journal of Electrical Engineering and Computer Science] | [http://ijeecs.iaescore.com] | [https://iaescore.com/gfa/ijeecs.docx] | [downloaded]
[QIJIS (Qudus International Journal Of Islamic Studies)] | [http://journal.stainkudus.ac.id] | [http://journal.stainkudus.ac.id/about/submissions] | [not_found]
[International Journal of Education and Learning] | [http://pubs2.ascee.org] | [http://pubs2.ascee.org/about/submissions] | [not_found]
[Al-Istinbath : Jurnal Hukum Islam] | [http://journal.iaincurup.ac.id] | [http://journal.iaincurup.ac.id/about/submissions] | [not_found]
[Jambe Law Journal] | [http://jlj.unja.ac.id] | [http://jlj.unja.ac.id/about/submissions] | [not_found]
[Millah: Journal of Religious Studies] | [http://journal.uii.ac.id/Millah] | [http://journal.uii.ac.id/Millah/about/submissions] | [not_found]
[Studia Islamika] | [http://journal.uinjkt.ac.id] | [http://journal.uinjkt.ac.id/about/submissions] | [not_found]
