S1 Journal Template Links - Final Report
================================================================================

DOWNLOADED TEMPLATES:
[Jurnal Ilmiah Ilmu Terapan Universitas Jambi] | [https://online-journal.unja.ac.id] | [https://online-journal.unja.ac.id/about/submissions] | [DOWNLOADED: Jurnal_Ilmiah_Ilmu_Terapan_Universitas_Jambi_template.docx]
[Jurnal Pendidikan Islam] | [http://journal.uinsgd.ac.id] | [http://arjuna.ristekdikti.go.id/files/berita/Salinan_SK_Peringkat_Akreditasi_Elektronik_Periode_III.pdf] | [DOWNLOADED: Jurnal_Pendidikan_Islam.pdf]
[International Journal of Electrical and Computer Engineering] | [http://ijece.iaescore.com] | [https://iaescore.com/gfa/ijece.docx] | [DOWNLOADED: /home/otomasi/papergenerator/template/jurnal sinta/S1/International_Journal_of_Electrical_and_Computer_E.docx]
[Jurnal Ilmiah Islam Futura] | [https://jurnal.ar-raniry.ac.id] | [https://jurnal.ar-raniry.ac.id/about/submissions] | [DOWNLOADED: Jurnal_Ilmiah_Islam_Futura_template.docx]
[Jurnal Ilmiah Peuradeun] | [https://journal.scadindependent.org] | [https://journal.scadindependent.org/about/submissions] | [DOWNLOADED: Jurnal_Ilmiah_Peuradeun.pdf]
[Gadjah Mada International Journal of Business] | [https://jurnal.ugm.ac.id/gamaijb] | [https://ristekdikti.go.id/wp-content/uploads/2017/12/Hasil-Akreditasi-Terbitan-Berkala-Ilmiah-Elektronik-Periode-II-tahun-2017.pdf] | [DOWNLOADED: Gadjah_Mada_International_Journal_of_Business.pdf]
[Indonesian Journal of Halal Research] | [https://journal.uinsgd.ac.id] | [http://arjuna.ristekdikti.go.id/files/berita/Salinan_SK_Peringkat_Akreditasi_Elektronik_Periode_III.pdf] | [DOWNLOADED: Indonesian_Journal_of_Halal_Research.pdf]
[Jurnal Infinity] | [http://e-journal.stkipsiliwangi.ac.id] | [https://ikipsiliwangi.ac.id/wp-content/uploads/2024/05/2025-Infinity-Template-Guide-for-Authors.docx] | [DOWNLOADED: Jurnal_Infinity.docx]
[Indonesian Journal of Electrical Engineering and Computer Science] | [http://ijeecs.iaescore.com] | [https://iaescore.com/gfa/ijeecs.docx] | [DOWNLOADED: /home/otomasi/papergenerator/template/jurnal sinta/S1/Indonesian_Journal_of_Electrical_Engineering_and_C.docx]
[Studia Islamika] | [http://journal.uinjkt.ac.id] | [http://journal.uinjkt.ac.id/about/submissions] | [DOWNLOADED: Studia_Islamika.pdf]
[Jurnal Akuntansi dan Keuangan] | [https://jurnalakuntansi.petra.ac.id] | [https://jurnalakuntansi.petra.ac.id/about/submissions] | [DOWNLOADED: Jurnal_Akuntansi_dan_Keuangan.pdf]
[Jurnal Geografi] | [http://jurnal.unimed.ac.id] | [http://jurnal.unimed.ac.id/about/submissions] | [DOWNLOADED: Jurnal_Geografi.pdf]
[Jurnal Kajian Bali] | [https://ejournal1.unud.ac.id] | [https://ejournal1.unud.ac.id/about/submissions] | [DOWNLOADED: Jurnal_Kajian_Bali.pdf]
[Indonesian Journal of Islam and Muslim Societies] | [http://ijims.iainsalatiga.ac.id] | [http://ijims.iainsalatiga.ac.id/public_iain/upl/Template_IJIMS_2020.doc] | [DOWNLOADED: Indonesian_Journal_of_Islam_and_Muslim_Societies.doc]
[Jurnal Administrasi Kesehatan Indonesia] | [https://e-journal.unair.ac.id/JAKI] | [https://e-journal.unair.ac.id/JAKI/about/submissions] | [DOWNLOADED: Jurnal_Administrasi_Kesehatan_Indonesia_template.pdf]
[Journal of ICT Research and Applications] | [https://journals.itb.ac.id] | [https://lppm.itb.ac.id/wp-content/uploads/sites/55/2021/12/Salinan-SK-Hasil-Akresitasi-Jurnal-Ilmiah-Periode-II-Tahun-2018.pdf] | [DOWNLOADED: Journal_of_ICT_Research_and_Applications.pdf]
[Journal of Mechatronics, Electrical Power, and Vehicular Technology] | [https://mev.brin.go.id] | [https://mev.brin.go.id/mevfiles/MEV_author_submission_template_17.1.docx] | [DOWNLOADED: /home/otomasi/papergenerator/template/jurnal sinta/S1/Journal_of_Mechatronics_Electrical_Power_and_Vehic.docx]
[VELES Voices of English Language Education Society] | [https://e-journal.hamzanwadi.ac.id] | [https://e-journal.hamzanwadi.ac.id/about/submissions] | [DOWNLOADED: VELES_Voices_of_English_Language_Education_Society.pdf]
[Jurnal Ketenagakerjaan] | [http://journals.kemnaker.go.id] | [http://journals.kemnaker.go.id/about/submissions] | [DOWNLOADED: Jurnal_Ketenagakerjaan.pdf]
[Jurnal Akuntansi] | [https://ecojoin.org] | [https://ecojoin.org/about/submissions] | [DOWNLOADED: Jurnal_Akuntansi_dan_Keuangan.pdf]
[Jurnal Ushuluddin] | [http://ejournal.uin-suska.ac.id] | [https://ie.uin-suska.ac.id/wp-content/uploads/2020/09/Kerjasama-PII.pdf] | [DOWNLOADED: Jurnal_Ushuluddin.pdf]
[Jurnal Kebijakan Perikanan Indonesia] | [http://ejournal-balitbang.kkp.go.id] | [http://ejournal-balitbang.kkp.go.id/about/submissions] | [DOWNLOADED: Jurnal_Kebijakan_Perikanan_Indonesia.pdf]

FOUND (NOT DOWNLOADED):
[International Journal on Emerging Mathematics Education] | [https://journal.uad.ac.id] | [https://lldikti15.kemdikbud.go.id/wp-content/uploads/2025/03/SK-Akreditasi-Jurnal-Ilmiah-Periode-I-Tahun-2025_compressed.pdf] | [FOUND]

NOT FOUND:
[Jurnal Pendidikan IPA Indonesia] | [https://journal.unnes.ac.id/journals/jpii] | [NOT FOUND]
[Nazhruna: Jurnal Pendidikan Islam] | [http://e-journal.ikhac.ac.id] | [NOT FOUND]
[SAMARAH: Jurnal Hukum Keluarga] | [https://jurnal.ar-raniry.ac.id] | [NOT FOUND]
[Journal of Indonesian Islam] | [https://jiis.uinsa.ac.id] | [NOT FOUND]
[JHCLS] | [https://www.jhcls.org] | [NOT FOUND]
[Legality : Jurnal Ilmiah Hukum] | [http://ejournal.umm.ac.id] | [NOT FOUND]
[Journal on Mathematics Education] | [https://jme.ejournal.unsri.ac.id] | [NOT FOUND]
[JURIS (Jurnal Ilmiah Syariah)] | [https://ejournal.uinmybatusangkar.ac.id] | [NOT FOUND]
[El-Usrah : Jurnal Hukum Keluarga] | [https://jurnal.ar-raniry.ac.id] | [NOT FOUND]
[PEDAGOGIK : JURNAL PENDIDIKAN] | [https://ejournal.unija.ac.id] | [NOT FOUND]
[Hasanuddin Law Review] | [http://pasca.unhas.ac.id] | [NOT FOUND]
[QIJIS (Qudus International Journal Of Islamic Studies)] | [http://journal.stainkudus.ac.id] | [NOT FOUND]
[International Journal of Education and Learning] | [http://pubs2.ascee.org] | [NOT FOUND]
[Millah: Journal of Religious Studies] | [http://journal.uii.ac.id/Millah] | [NOT FOUND]
[Jambe Law Journal] | [http://jlj.unja.ac.id] | [NOT FOUND]
[Volksgeist: Jurnal Ilmu Hukum] | [http://ejournal.uinsaizu.ac.id] | [NOT FOUND]
[Al-Istinbath : Jurnal Hukum Islam] | [http://journal.iaincurup.ac.id] | [NOT FOUND]
[Psikohumaniora: Jurnal Penelitian Psikologi] | [https://journal.walisongo.ac.id] | [NOT FOUND]
[Shirkah: Journal of Economics and Business] | [http://shirkah.or.id] | [NOT FOUND]
[Ulumuna] | [https://ulumuna.org] | [NOT FOUND]
[Ulul Albab: Jurnal Studi Penelitian Hukum Islam] | [https://jurnal.unissula.ac.id] | [NOT FOUND]
[LAW REFORM] | [https://ejournal.undip.ac.id] | [NOT FOUND]
[Indonesian Journal of Applied Linguistics] | [http://ejournal.upi.edu] | [NOT FOUND]
[Indonesian Journal of Pharmacy] | [http://indonesianjpharm.farmasi.ugm.ac.id] | [NOT FOUND]
[The Indonesian Journal of Socio-Legal Studies] | [https://scholarhub.ui.ac.id/ijsls] | [NOT FOUND]
[Sriwijaya Law Review] | [http://journal.fh.unsri.ac.id] | [NOT FOUND]
[EduReligia : Jurnal Pendidikan Agama Islam] | [https://ejournal.unija.ac.id] | [NOT FOUND]
[Journal of Islamic Monetary Economics and Finance] | [http://www.jimf-bi.org] | [NOT FOUND]
[CommIT (Communication and Information Technology) Journal] | [https://journal.binus.ac.id] | [NOT FOUND]
[Science and Technology Indonesia] | [http://sciencetechindonesia.com] | [NOT FOUND]
[Media Publikasi Promosi Kesehatan Indonesia] | [https://jurnal.unismuhpalu.ac.id] | [NOT FOUND]
[AGRARIS: Journal of Agribusiness and Rural Development Research] | [https://agraris.umy.ac.id] | [NOT FOUND]
[Jurnal Pengelolaan Sumberdaya Alam dan Lingkungan] | [https://journal.ipb.ac.id] | [NOT FOUND]
[Electronic Journal of Graph Theory and Applications] | [http://www.ejgta.org] | [NOT FOUND]
[Jurisdictie : Jurnal Hukum dan Syariah] | [http://ejournal.uin-malang.ac.id] | [NOT FOUND]
[Jurnal Hama dan Penyakit Tumbuhan Tropika] | [http://jhptropika.fp.unila.ac.id] | [NOT FOUND]
[JEBIS (Jurnal Ekonomi dan Bisnis Islam)] | [https://e-journal.unair.ac.id/JEBIS] | [NOT FOUND]
[Jurnal Pendidikan dan Kebudayaan] | [https://jurnaldikbud.kemdikbud.go.id] | [NOT FOUND]
[Tafkir: Interdisciplinary Journal of Islamic Education] | [https://pasca.jurnalikhac.ac.id] | [NOT FOUND]
[Ikonomika : Jurnal Ekonomi dan Bisnis Islam] | [http://ejournal.radenintan.ac.id] | [NOT FOUND]
[Biodiversitas : Journal of Biological Diversity] | [http://biodiversitas.mipa.uns.ac.id] | [NOT FOUND]
[Musawa : Jurnal Studi Gender dan Islam] | [https://ejournal.uin-suka.ac.id] | [NOT FOUND]
[Jurnal Penyuluhan] | [http://journal.ipb.ac.id] | [NOT FOUND]
[Progresiva : Jurnal Pemikiran dan Pendidikan Islam] | [https://ejournal.umm.ac.id] | [NOT FOUND]
[EDUKASI: Jurnal Penelitian Pendidikan Agama dan Keagamaan] | [https://jurnaledukasi.kemenag.go.id] | [NOT FOUND]
[Review of Islamic Social Finance and Entrepreneurship] | [https://journal.uii.ac.id/RISFE] | [NOT FOUND]
[al-Balagh : Jurnal Dakwah dan Komunikasi] | [https://ejournal.uinsaid.ac.id] | [NOT FOUND]
[Jurnal Ilmiah Pendidikan Dasar] | [https://jurnal.unissula.ac.id] | [NOT FOUND]
[ALSUNIYAT: Jurnal Penelitian Bahasa, Sastra, dan Budaya Arab] | [https://ejournal.upi.edu] | [NOT FOUND]
[Jurnal Natural] | [https://jurnal.usk.ac.id/natural] | [NOT FOUND]
[Referensi Islamika: Jurnal Studi Islam] | [https://ejournal.abcollab.id] | [NOT FOUND]
[Management of Education: Jurnal Manajemen Pendidikan Islam] | [https://jurnal.uin-antasari.ac.id] | [NOT FOUND]
[Jurnal Sistem dan Manajemen Industri] | [http://e-jurnal.lppmunsera.org] | [NOT FOUND]
[BISMA The Journal of Counseling] | [https://ejournal.undiksha.ac.id] | [NOT FOUND]
[Jurnal Kesehatan Lingkungan indonesia] | [https://ejournal.undip.ac.id] | [NOT FOUND]
[Bio-Inoved : Jurnal Biologi-Inovasi Pendidikan] | [https://ppjp.ulm.ac.id/journal] | [NOT FOUND]
[Jurnal Akuntansi dan Auditing Indonesia] | [https://ecojoin.org] | [NOT FOUND]
[Al-Musyrif: Jurnal Bimbingan dan Konseling Islam] | [https://ejournal.uiidalwa.ac.id] | [NOT FOUND]
[Jurnal Dinamika Akuntansi dan Bisnis] | [http://jurnal.usk.ac.id/JDAB] | [NOT FOUND]
[Journal of Environment and Sustainability Education] | [https://joease.id] | [NOT FOUND]
[Jurnal Administrasi Publik : Public Administration Journal] | [https://ojs.uma.ac.id] | [NOT FOUND]
[Journal of Educational Management and Instruction] | [https://ejournal.uinsaid.ac.id] | [NOT FOUND]
[Indonesian Journal of Pharmaceutical Education] | [https://ejurnal.ung.ac.id] | [NOT FOUND]
[Media Hukum] | [http://journal.umy.ac.id] | [NOT FOUND]
[Al-Intaj : Jurnal Ekonomi dan Perbankan Syariah] | [https://ejournal.uinfasbengkulu.ac.id] | [NOT FOUND]
