no,name,website,template_url,status
1,Jurnal Pendidikan IPA Indonesia,https://journal.unnes.ac.id/journals/jpii,https://journal.unnes.ac.id/journals/jpii/about/submissions,not_found
3,Jurnal Ilmiah Ilmu Terapan Universitas Jambi,https://online-journal.unja.ac.id,https://online-journal.unja.ac.id/about/submissions,not_found
2,International Journal of Electrical and Computer Engineering,http://ijece.iaescore.com,https://iaescore.com/gfa/ijece.docx,downloaded
6,Jurnal Pendidikan Islam,http://journal.uinsgd.ac.id,http://arjuna.ristekdikti.go.id/files/berita/Salinan_SK_Peringkat_Akreditasi_Elektronik_Periode_III.pdf,found
4,Jurnal Ilmiah Islam Futura,https://jurnal.ar-raniry.ac.id,https://jurnal.ar-raniry.ac.id/about/submissions,not_found
8,Journal of Islamic Law (JIL),http://e-journal.iainptk.ac.id,http://e-journal.iainptk.ac.id/about/submissions,not_found
5,Nazhruna: Jurnal Pendidikan Islam,http://e-journal.ikhac.ac.id,http://e-journal.ikhac.ac.id/about/submissions,not_found
10,SAMARAH: Jurnal Hukum Keluarga,https://jurnal.ar-raniry.ac.id,https://jurnal.ar-raniry.ac.id/about/submissions,not_found
7,APTISI Transactions on Technopreneurship,https://att.aptisi.or.id,https://att.aptisi.or.id/about/submissions,not_found
11,JURIS (Jurnal Ilmiah Syariah),https://ejournal.uinmybatusangkar.ac.id,https://ejournal.uinmybatusangkar.ac.id/about/submissions,not_found
13,JHCLS,https://www.jhcls.org,https://www.jhcls.org/about/submissions,not_found
14,Journal of Indonesian Islam,https://jiis.uinsa.ac.id,https://jiis.uinsa.ac.id/about/submissions,not_found
15,Gadjah Mada International Journal of Business,https://jurnal.ugm.ac.id/gamaijb,https://ristekdikti.go.id/wp-content/uploads/2017/12/Hasil-Akreditasi-Terbitan-Berkala-Ilmiah-Elektronik-Periode-II-tahun-2017.pdf,found
16,Legality : Jurnal Ilmiah Hukum,http://ejournal.umm.ac.id,http://ejournal.umm.ac.id/about/submissions,not_found
17,Indonesian Journal of Halal Research,https://journal.uinsgd.ac.id,http://arjuna.ristekdikti.go.id/files/berita/Salinan_SK_Peringkat_Akreditasi_Elektronik_Periode_III.pdf,found
9,Jurnal Ilmiah Peuradeun,https://journal.scadindependent.org,https://michaelfullan.ca/wp-content/uploads/2017/07/Michael-Fullan-Educational-Leadership-Six-Secrets-Interview.pdf,downloaded
18,Journal on Mathematics Education,https://jme.ejournal.unsri.ac.id,https://jme.ejournal.unsri.ac.id/about/submissions,not_found
20,El-Usrah : Jurnal Hukum Keluarga,https://jurnal.ar-raniry.ac.id,https://jurnal.ar-raniry.ac.id/about/submissions,not_found
12,Volksgeist: Jurnal Ilmu Hukum,http://ejournal.uinsaizu.ac.id,http://ejournal.uinsaizu.ac.id/about/submissions,not_found
19,Jurnal Akuntansi dan Keuangan,https://jurnalakuntansi.petra.ac.id,https://jurnalakuntansi.petra.ac.id/about/submissions,not_found
23,Jurnal Infinity,http://e-journal.stkipsiliwangi.ac.id,https://ikipsiliwangi.ac.id/wp-content/uploads/2024/05/2025-Infinity-Template-Guide-for-Authors.docx,downloaded
24,PEDAGOGIK : JURNAL PENDIDIKAN,https://ejournal.unija.ac.id,https://ejournal.unija.ac.id/about/submissions,not_found
22,Hasanuddin Law Review,http://pasca.unhas.ac.id,http://pasca.unhas.ac.id/about/submissions,not_found
25,Indonesian Journal of Electrical Engineering and Computer Science,http://ijeecs.iaescore.com,https://iaescore.com/gfa/ijeecs.docx,downloaded
26,QIJIS (Qudus International Journal Of Islamic Studies),http://journal.stainkudus.ac.id,http://journal.stainkudus.ac.id/about/submissions,not_found
27,International Journal of Education and Learning,http://pubs2.ascee.org,http://pubs2.ascee.org/about/submissions,not_found
28,Al-Istinbath : Jurnal Hukum Islam,http://journal.iaincurup.ac.id,http://journal.iaincurup.ac.id/about/submissions,not_found
30,Jambe Law Journal,http://jlj.unja.ac.id,http://jlj.unja.ac.id/about/submissions,not_found
21,Millah: Journal of Religious Studies,http://journal.uii.ac.id/Millah,http://journal.uii.ac.id/Millah/about/submissions,not_found
29,Studia Islamika,http://journal.uinjkt.ac.id,http://journal.uinjkt.ac.id/about/submissions,not_found
